link_id,requested_route_id,requested_route_name,corridor_name,direction_label,startNodeNm,endNodeNm,linkLength,start_lon,start_lat,end_lon,end_lat
1210000701,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,원지동489-2,양재IC,3001.57,127.05203073363546,37.44975663440124,127.04275740610213,37.460633596567
1210000702,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,양재IC,서울만남의광장휴게소,128.11,127.04275740610213,37.460633596567,127.04188234563846,37.461553263846355
1210000711,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,원지동489-2,신양재IC,689.19,127.06111163211537,37.43929090814424,127.05724736469918,37.44468226258571
1210000721,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,신양재IC,양재IC,808.13,127.04823440798077,37.45480685387436,127.04275740610213,37.460633596567
1210000800,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재IC,만남의광장휴게소,311.12,127.04200577933376,37.461184986355526,127.044130829893,37.458951537997955
1210001300,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,양재육교,양재IC,326.87,127.04027587709297,37.463003001600704,127.03935862248683,37.46307304356116
1210001400,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,양재IC,양재IC,377.97,127.04187953925847,37.46496032427826,127.03790379288016,37.4657401375142
1210001500,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,서울만남의광장휴게소,양재IC,377.91,127.04188234563846,37.461553263846355,127.0419918493931,37.464895911661266
1210001600,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,양재IC,양재IC,297.68,127.03927069012309,37.4631554685339,127.03941306426084,37.463910892369015
1210001901,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재육교,양재IC,253.25,127.04027587709297,37.463003001600704,127.04200577933376,37.461184986355526
1210001902,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재IC,양재육교,32.47,127.03941306426084,37.463910892369015,127.0396344897861,37.463677572876165
1210001903,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재IC,양재IC,241.39,127.0377668686817,37.465645457133064,127.03941306426084,37.463910892369015
1210002001,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,서울만남의광장휴게소,양재육교,226.57,127.04188234563846,37.461553263846355,127.04033469877571,37.46317973390655
1210002002,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,양재육교,양재IC,15.03,127.04033469877571,37.46317973390655,127.04023204320123,37.463287614479995
1210002003,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,양재IC,양재IC,239.91,127.03953988083167,37.46401622060598,127.03790379288016,37.4657401375142
1210002100,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재IC,양재IC,389.78,127.0377668686817,37.465645457133064,127.03796863304164,37.46221369522463
1210002200,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재IC,양재육교,301.09,127.04059757002835,37.46385954157114,127.04033469877571,37.46317973390655
1210002300,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재IC,양재IC,287.03,127.03953988083167,37.46401622060598,127.04050323342565,37.46394649573139
1210002400,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재IC,신원지하차도,572.82,127.03773579949426,37.461899229260595,127.04249368071605,37.45943947612345
1210002900,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,양재IC,서초IC,288.56,127.03790379288016,37.4657401375142,127.03593583265295,37.46781360420988
1210033500,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,양재IC,양재IC,537.38,127.04200577933376,37.461184986355526,127.04275740610213,37.460633596567
1210154300,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,원지동489-2,금토JC,3038.71,127.05203073363546,37.44975663440124,127.08244927181093,37.41784642804898
1210154400,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,금토JC,원지동489-2,3039.81,127.08244927181093,37.41784642804898,127.05203073363546,37.44975663440124
1210177500,1010000011,경부고속도로,gyeongbu_pangyo_seoul,northbound,서초구-성남시수정구,원지동489-2,612.06,127.06966653562418,37.43064446542849,127.06530367391854,37.4349232323749
1210177600,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,원지동489-2,서초구-성남시수정구,612.06,127.06099812689503,37.4392308276164,127.06519847698128,37.43485502015665
1210177700,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,신양재IC,원지동489-2,689.16,127.04812768411146,37.45474496923369,127.05267472079544,37.44970359430565
1210177800,1010000011,경부고속도로,gyeongbu_pangyo_seoul,southbound,신원지하차도,신양재IC,486.52,127.04480819306859,37.45823958784521,127.04812768411146,37.45474496923369
