link_id,road_name,od_count,affected_user_weight,route_candidate_count,candidate_user_exposure
2060181601,대왕판교로,50,1274,77,1979
2060181307,판교로,39,945,67,1595
2040057701,대왕판교로,36,896,56,1389
2040057702,대왕판교로,36,896,56,1389
2060359100,판교로,36,890,62,1520
2060274800,경부고속도로,34,874,45,1160
2060272900,경부고속도로,34,874,45,1160
2060181302,판교로,35,846,61,1452
2060359700,판교로,34,844,60,1477
2060359501,판교로,34,844,57,1404
2060200900,서현로,31,793,41,1057
2060181003,대왕판교로,31,770,47,1168
2060359701,판교로,29,720,55,1353
2060181701,대왕판교로,29,708,45,1104
2040000401,대왕판교로,27,661,45,1110
2040000402,대왕판교로,27,661,45,1110
2060197100,판교로256번길,26,621,58,1367
2060181101,대왕판교로,24,598,33,830
2060181305,판교로,25,596,45,1057
2060200101,판교로256번길,24,574,54,1278
2060208000,판교로,23,548,56,1325
2060181304,판교로,23,545,42,984
2060182106,대왕판교로644번길,22,539,44,1095
2060186501,대왕판교로,21,532,36,922
2060185301,대왕판교로,21,532,36,922
2060135701,분당수서로,21,512,41,989
2060208001,판교로,21,499,53,1253
2040412801,분당내곡간도시고속화도로,20,486,33,808
2040008901,분당내곡간도시고속화도로,19,473,39,978
2040010300,분당내곡간도시고속화도로,19,473,39,978
2040008900,분당내곡간도시고속화도로,19,473,39,978
2040008903,분당내곡간도시고속화도로,19,473,39,978
2040008902,분당내곡간도시고속화도로,19,473,39,978
2050008103,분당수서로,19,463,40,965
2050008104,분당수서로,19,463,40,965
2050008101,분당수서로,19,463,40,965
2050008102,분당수서로,19,463,40,965
2060141601,분당수서로,19,463,38,914
2040412003,경부고속도로,18,456,29,742
2040412002,경부고속도로,18,456,29,742
2040388701,경부고속도로,18,456,29,742
2040389501,경부고속도로,18,456,29,742
2040412004,경부고속도로,18,456,29,742
2060181303,판교로,19,451,33,771
2060181306,판교로,19,451,32,749
2060200100,판교로256번길,18,429,41,966
2060333900,대왕판교로645번길,18,429,41,966
2060182000,분당내곡로,16,412,21,562
2060004304,대왕판교로,16,406,23,581
2060201401,대왕판교로,16,406,22,558
2060194802,대왕판교로645번길,16,405,27,697
2060179701,대왕판교로,16,404,23,577
2040410800,분당내곡간도시고속화도로,16,394,29,706
2040410200,분당내곡간도시고속화도로,16,394,29,706
2060359300,분당내곡로,16,394,29,706
2040411600,분당내곡간도시고속화도로,16,394,29,706
2060181804,판교로,15,385,26,655
2060001512,대왕판교로,15,384,20,505
2060001514,대왕판교로,15,384,20,505
2060001509,대왕판교로,15,384,20,505
2060324801,대왕판교로,15,384,20,505
2060324800,대왕판교로,15,384,20,505
2060000702,대왕판교로,15,384,20,505
2060001513,대왕판교로,15,384,20,505
2060001511,대왕판교로,15,384,20,505
2060001510,대왕판교로,15,384,20,505
2060001515,대왕판교로,15,384,20,505
2060001508,대왕판교로,15,384,20,505
2060000701,대왕판교로,15,384,20,505
2040412600,분당내곡간도시고속화도로,15,371,28,683
2060182001,분당내곡로,15,371,26,637
2060194803,대왕판교로645번길,14,361,24,630
2060197601,판교역로,14,352,23,578
2060197600,판교역로,14,352,23,578
2060194200,판교역로,14,352,22,555
2060197700,대왕판교로606번길,13,352,19,504
2040414201,분당수서로,14,344,27,659
2040017502,분당수서로,14,344,27,659
2040017501,분당수서로,14,344,27,659
2060182107,대왕판교로644번길,14,342,21,525
2060207906,판교로,14,341,28,677
2060207908,판교로,14,341,28,677
2060180402,판교로,14,341,28,677
2060201200,판교로,14,341,28,677
2060207907,판교로,14,341,28,677
2060180405,판교로,14,341,28,677
2060201201,판교로,14,341,28,677
2060207903,판교로,14,341,28,677
2060180408,판교로,14,341,28,677
2060180401,판교로,14,341,28,677
2060207905,판교로,14,341,28,677
2060207902,판교로,14,341,28,677
2060180404,판교로,14,341,28,677
2060180407,판교로,14,341,28,677
2060207904,판교로,14,341,28,677
2060180403,판교로,14,341,28,677
2040011315,대왕판교로,14,335,22,513
2040011316,대왕판교로,14,335,22,513
2040000609,대왕판교로,14,335,22,513
2040011311,대왕판교로,14,335,22,513
2040009301,대왕판교로,14,335,22,513
2040011314,대왕판교로,14,335,22,513
2040000610,대왕판교로,14,335,22,513
2040011312,대왕판교로,14,335,22,513
2040011310,대왕판교로,14,335,22,513
2040000612,대왕판교로,14,335,22,513
2040000608,대왕판교로,14,335,22,513
2040000607,대왕판교로,14,335,22,513
2040011309,대왕판교로,14,335,22,513
2040000611,대왕판교로,14,335,22,513
2040011313,대왕판교로,14,335,22,513
2060181803,판교로,13,335,19,485
2060181806,판교로,13,335,19,485
2060207106,판교역로,13,326,18,456
2060181807,판교로,13,323,24,591
2060197701,대왕판교로606번길,12,322,17,452
2060001204,경부고속도로,12,314,13,345
2060358405,경부고속도로,12,314,13,345
2060358402,경부고속도로,12,314,13,345
2060001202,경부고속도로,12,314,13,345
2060001206,경부고속도로,12,314,13,345
2060358401,경부고속도로,12,314,13,345
2060358404,경부고속도로,12,314,13,345
2060001203,경부고속도로,12,314,13,345
2060358403,경부고속도로,12,314,13,345
2060001205,경부고속도로,12,314,13,345
2060194501,분당내곡로,12,308,16,425
2060182204,대왕판교로644번길,12,293,19,458
2060182203,대왕판교로644번길,12,293,19,458
2060182208,대왕판교로644번길,12,293,18,436
2060208101,판교로,12,292,22,530
2050210803,수도권제1순환고속도로,11,285,11,285
2040410400,수도권제1순환고속도로,11,285,11,285
2050210804,수도권제1순환고속도로,11,285,11,285
2060360700,수도권제1순환고속도로,11,285,11,285
2050210802,수도권제1순환고속도로,11,285,11,285
2040410401,수도권제1순환고속도로,11,285,11,285
2050210801,수도권제1순환고속도로,11,285,11,285
2050210800,수도권제1순환고속도로,11,285,11,285
2040001100,청계산로,11,279,11,279
2040389609,달래내로,11,279,11,279
2040389606,달래내로,11,279,11,279
2040007301,달래내로,11,279,11,279
2040389601,달래내로,11,279,11,279
2040389603,달래내로,11,279,11,279
2040008009,달래내로,11,279,11,279
2040007300,달래내로,11,279,11,279
2040008001,달래내로,11,279,11,279
