link_id,road_name,seongnam_position,od_count,route_candidate_count,affected_user_weight,candidate_user_exposure,link_length_m,candidate_cumulative_distance_m,ai_supported,ai_status
2060181601,대왕판교로,internal,50,77,1274,1979,5.68,437.36,False,unsupported
2060181307,판교로,internal,39,67,945,1595,22.49,1506.83,False,unsupported
2040057702,대왕판교로,internal,36,56,896,1389,337.25,18886.0,False,unsupported
2040057701,대왕판교로,internal,36,56,896,1389,16.24,909.44,False,unsupported
2060359100,판교로,internal,36,62,890,1520,305.39,18934.18,False,unsupported
2060274800,경부고속도로,internal,34,45,874,1160,130.76,5884.2,False,unsupported
2060272900,경부고속도로,internal,34,45,874,1160,858.04,38611.8,False,unsupported
2060181302,판교로,internal,35,61,846,1452,267.2,16299.2,False,unsupported
2060359700,판교로,internal,34,60,844,1477,271.22,16273.2,False,unsupported
2060359501,판교로,internal,34,57,844,1404,10.81,616.17,False,unsupported
2060200900,서현로,internal,31,41,793,1057,150.94,6188.54,False,unsupported
2060181003,대왕판교로,internal,31,47,770,1168,12.04,565.88,False,unsupported
2060359701,판교로,internal,29,55,720,1353,22.78,1252.9,False,unsupported
2060181701,대왕판교로,internal,29,45,708,1104,13.41,603.45,False,unsupported
2040000402,대왕판교로,internal,27,45,661,1110,428.5,19282.5,False,unsupported
2040000401,대왕판교로,internal,27,45,661,1110,55.26,2486.7,False,unsupported
2060197100,판교로256번길,internal,26,58,621,1367,74.57,4325.06,False,unsupported
2060181101,대왕판교로,internal,24,33,598,830,8.18,269.94,False,unsupported
2060181305,판교로,internal,25,45,596,1057,12.91,580.95,False,unsupported
2060200101,판교로256번길,internal,24,54,574,1278,12.02,649.08,False,unsupported
2060208000,판교로,internal,23,56,548,1325,198.72,11128.32,False,unsupported
2060181304,판교로,internal,23,42,545,984,274.97,11548.74,False,unsupported
2060182106,대왕판교로644번길,internal,22,44,539,1095,158.66,6981.04,False,unsupported
2060185301,대왕판교로,internal,21,36,532,922,30.34,1092.24,False,unsupported
2060186501,대왕판교로,internal,21,36,532,922,12.8,460.8,False,unsupported
2060135701,분당수서로,internal,21,41,512,989,12.12,496.92,False,unsupported
2060208001,판교로,internal,21,53,499,1253,25.66,1359.98,False,unsupported
2040412801,분당내곡간도시고속화도로,internal,20,33,486,808,15.49,511.17,False,unsupported
2040008900,분당내곡간도시고속화도로,internal,19,39,473,978,771.19,30076.41,False,unsupported
2040008903,분당내곡간도시고속화도로,internal,19,39,473,978,771.19,30076.41,False,unsupported
2040008902,분당내곡간도시고속화도로,internal,19,39,473,978,180.72,7048.08,False,unsupported
2040008901,분당내곡간도시고속화도로,internal,19,39,473,978,699.56,27282.84,False,unsupported
2040010300,분당내곡간도시고속화도로,internal,19,39,473,978,501.32,19551.48,False,unsupported
2050008101,분당수서로,internal,19,40,463,965,59.64,2385.6,False,unsupported
2050008102,분당수서로,internal,19,40,463,965,835.54,33421.6,False,unsupported
2050008103,분당수서로,internal,19,40,463,965,49.58,1983.2,False,unsupported
2050008104,분당수서로,internal,19,40,463,965,112.12,4484.8,False,unsupported
2060141601,분당수서로,internal,19,38,463,914,12.0,456.0,False,unsupported
2040389501,경부고속도로,internal,18,29,456,742,600.86,17424.94,False,unsupported
2040388701,경부고속도로,internal,18,29,456,742,514.94,14933.26,False,unsupported
2040412002,경부고속도로,internal,18,29,456,742,614.4,17817.6,False,unsupported
2040412004,경부고속도로,internal,18,29,456,742,53.91,1563.39,False,unsupported
2040412003,경부고속도로,internal,18,29,456,742,239.67,6950.43,False,unsupported
2060181303,판교로,internal,19,33,451,771,111.35,3674.55,False,unsupported
2060181306,판교로,internal,19,32,451,749,12.0,384.0,False,unsupported
