user_id,od_id,origin_location_id,destination_location_id,planned_departure_time,adjustable_minutes,candidate_index,candidate_departure_time,offset_minutes,is_original_time
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,0,18:35,-60,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,1,18:40,-55,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,2,18:45,-50,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,3,18:50,-45,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,4,18:55,-40,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,5,19:00,-35,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,6,19:05,-30,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,7,19:10,-25,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,8,19:15,-20,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,9,19:20,-15,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,10,19:25,-10,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,11,19:30,-5,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,12,19:35,0,True
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,13,19:40,5,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,14,19:45,10,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,15,19:50,15,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,16,19:55,20,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,17,20:00,25,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,18,20:05,30,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,19,20:10,35,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,20,20:15,40,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,21,20:20,45,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,22,20:25,50,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,23,20:30,55,False
user_00001,OD_000248,ORG_004,HOME_011,19:35,60,24,20:35,60,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,0,17:40,-30,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,1,17:45,-25,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,2,17:50,-20,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,3,17:55,-15,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,4,18:00,-10,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,5,18:05,-5,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,6,18:10,0,True
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,7,18:15,5,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,8,18:20,10,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,9,18:25,15,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,10,18:30,20,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,11,18:35,25,False
user_00002,OD_000108,ORG_009,EXT_006,18:10,30,12,18:40,30,False
user_00003,OD_000032,ORG_012,EXT_010,18:15,15,0,18:00,-15,False
user_00003,OD_000032,ORG_012,EXT_010,18:15,15,1,18:05,-10,False
user_00003,OD_000032,ORG_012,EXT_010,18:15,15,2,18:10,-5,False
user_00003,OD_000032,ORG_012,EXT_010,18:15,15,3,18:15,0,True
user_00003,OD_000032,ORG_012,EXT_010,18:15,15,4,18:20,5,False
user_00003,OD_000032,ORG_012,EXT_010,18:15,15,5,18:25,10,False
user_00003,OD_000032,ORG_012,EXT_010,18:15,15,6,18:30,15,False
user_00004,OD_000218,ORG_008,HOME_007,18:20,15,0,18:05,-15,False
user_00004,OD_000218,ORG_008,HOME_007,18:20,15,1,18:10,-10,False
user_00004,OD_000218,ORG_008,HOME_007,18:20,15,2,18:15,-5,False
user_00004,OD_000218,ORG_008,HOME_007,18:20,15,3,18:20,0,True
user_00004,OD_000218,ORG_008,HOME_007,18:20,15,4,18:25,5,False
user_00004,OD_000218,ORG_008,HOME_007,18:20,15,5,18:30,10,False
user_00004,OD_000218,ORG_008,HOME_007,18:20,15,6,18:35,15,False
user_00005,OD_000447,ORG_001,HOME_005,19:05,15,0,18:50,-15,False
user_00005,OD_000447,ORG_001,HOME_005,19:05,15,1,18:55,-10,False
user_00005,OD_000447,ORG_001,HOME_005,19:05,15,2,19:00,-5,False
user_00005,OD_000447,ORG_001,HOME_005,19:05,15,3,19:05,0,True
user_00005,OD_000447,ORG_001,HOME_005,19:05,15,4,19:10,5,False
user_00005,OD_000447,ORG_001,HOME_005,19:05,15,5,19:15,10,False
user_00005,OD_000447,ORG_001,HOME_005,19:05,15,6,19:20,15,False
user_00006,OD_000274,ORG_013,HOME_015,20:40,30,0,20:10,-30,False
user_00006,OD_000274,ORG_013,HOME_015,20:40,30,1,20:15,-25,False
user_00006,OD_000274,ORG_013,HOME_015,20:40,30,2,20:20,-20,False
user_00006,OD_000274,ORG_013,HOME_015,20:40,30,3,20:25,-15,False
user_00006,OD_000274,ORG_013,HOME_015,20:40,30,4,20:30,-10,False
user_00006,OD_000274,ORG_013,HOME_015,20:40,30,5,20:35,-5,False
user_00006,OD_000274,ORG_013,HOME_015,20:40,30,6,20:40,0,True
user_00006,OD_000274,ORG_013,HOME_015,20:40,30,7,20:45,5,False
