LINK_ID,route_occurrence_count,found_in_ai_citywide_universe,found_in_ai_segment_bridge,ai_F_NODE,ai_T_NODE,ai_ROAD_NAME,route_length_example_m,ai_LENGTH_m,max_length_abs_diff_m_across_occurrences,ai_UPDATEDATE
2040388700,2,True,True,2040146001,2049186600,경부고속도로,514.94,514.941032479259,0.001032479258924468,20250512
2040388701,2,True,True,2049186600,2040142801,경부고속도로,514.94,514.941032479168,0.0010324791679749978,20250512
2040389500,2,True,True,2060004901,2049185400,경부고속도로,600.86,600.862945021616,0.002945021616028498,20250512
2040389501,2,True,True,2049185400,2040146001,경부고속도로,600.86,600.862945021616,0.002945021616028498,20250512
2040412000,2,True,True,2040142801,2049187400,경부고속도로,907.98,907.975968633781,0.004031366219010124,20250512
2040412002,2,True,True,2049187400,2049203100,경부고속도로,614.4,614.404219705523,0.004219705523041739,20251223
2040412003,2,True,True,2049203200,1210085501,경부고속도로,239.67,239.666244775198,0.0037552248019778744,20251223
2040412004,2,True,True,2049203100,2049203200,경부고속도로,53.91,53.905504153151,0.004495846848996621,20251223
2060181600,2,True,False,2060060309,2060059804,대왕판교로,399.36,399.363954231297,0.003954231296972921,20250512
2060181601,2,True,False,2060059804,2060059803,대왕판교로,5.68,5.681765425417,0.0017654254170000883,20250512
2060185300,2,True,False,2060059803,2060059601,대왕판교로,232.57,232.574476369061,0.0044763690609954665,20250512
2060194802,2,True,False,2060060304,2060060309,대왕판교로645번길,224.15,224.149264997619,0.0007350023809920003,20250512
2060194803,2,True,False,2060060305,2060060304,대왕판교로645번길,12.05,12.053894252244,0.0038942522439988636,20250512
2060200900,2,True,False,2060059601,2060065801,서현로,150.94,150.941066876856,0.001066876856015142,20250512
2060272900,2,True,False,2060094901,2060004901,경부고속도로,858.04,858.042892677285,0.0028926772849899862,20250512
2060274800,2,True,True,2060065801,2060094901,경부고속도로,130.76,130.758846248394,0.0011537516059831887,20250512
